"","Prix_Vente","Année_Construction","Année_Vente","Mois_Vente","Surface","Niveau_Etage","TCouloir","TChauffage","TGestion","Nb_Parking_Surface","Nb_Parking_Sous_Sol","Temps_Bus","Nb_Appartment_Batiment","Nb_Gestionnaire","Nb_Ascenseurs","Station_Metro","Nb_Bureau_Publics","Nb_Hopitaux","Nb_Grands_Magasins","N_FacilitiesNearBy.Mall.","Nb_AUtres_Proximité","Nb_Parcs","Nb_Ecoles_Primaires","Nb_Ecoles_Colléges","Nb_Ecoles_Lycée","Nb_Ecoles_Universités","Nb_Installations","Nb_Total_Proximité","Nb_Total_Ecoles"
"1",51327,1985,2007,8,587,8,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"2",48672,1985,2007,8,587,6,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"3",35840,1992,2007,8,355,5,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"4",78318,1992,2007,8,644,2,"mixed","individual_heating","self_management",142,79,"5min~10min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"5",61946,1993,2007,8,644,10,"mixed","individual_heating","management_in_trust",523,536,"0~5min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"6",64601,1992,2007,9,576,5,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"7",55752,1992,2007,9,576,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"8",74336,1997,2007,10,644,15,"mixed","individual_heating","management_in_trust",82,56,"5min~10min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"9",46902,1985,2007,10,587,5,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"10",61946,1985,2007,10,676,7,"corridor","individual_heating","self_management",80,76,"0~5min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"11",38495,1992,2007,10,355,13,"corridor","individual_heating","management_in_trust",200,0,"5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
