"","SalePrice","YearBuilt","YrSold","MonthSold","Size.sqf.","Floor","HallwayType","HeatingType","AptManageType","N_Parkinglot.Ground.","N_Parkinglot.Basement.","TimeToBusStop","TimeToSubway","N_APT","N_manager","N_elevators","SubwayStation","N_FacilitiesNearBy.PublicOffice.","N_FacilitiesNearBy.Hospital.","N_FacilitiesNearBy.Dpartmentstore.","N_FacilitiesNearBy.Mall.","N_FacilitiesNearBy.ETC.","N_FacilitiesNearBy.Park.","N_SchoolNearBy.Elementary.","N_SchoolNearBy.Middle.","N_SchoolNearBy.High.","N_SchoolNearBy.University.","N_FacilitiesInApt","N_FacilitiesNearBy.Total.","N_SchoolNearBy.Total."
"1",51327,1985,2007,8,587,8,"corridor","individual_heating","self_management","80.0","76.0","0~5min","5min~10min","1.0","2.0","2.0","Daegu","5.0",1,"2.0","1.0","2.0","1.0","2.0","1.0","1.0","0.0",3,"12.0","4.0"
"2",48672,1985,2007,8,587,6,"corridor","individual_heating","self_management","80.0","76.0","0~5min","5min~10min","1.0","2.0","2.0","Daegu","5.0",1,"2.0","1.0","2.0","1.0","2.0","1.0","1.0","0.0",3,"12.0","4.0"
"3",35840,1992,2007,8,355,5,"corridor","individual_heating","management_in_trust","200.0","0.0","5min~10min","10min~15min","3.0","5.0","10.0","Myung-duk","7.0",1,"1.0","1.0","5.0","1.0","4.0","3.0","5.0","5.0",3,"16.0","17.0"
"4",78318,1992,2007,8,644,2,"mixed","individual_heating","self_management","142.0","79.0","5min~10min","15min~20min","3.0","4.0","8.0","Myung-duk","5.0",1,"1.0","1.0","1.0","0.0","3.0","3.0","4.0","4.0",3,"9.0","14.0"
"5",61946,1993,2007,8,644,10,"mixed","individual_heating","management_in_trust","523.0","536.0","0~5min","15min~20min","8.0","8.0","20.0","Myung-duk","6.0",2,"0.0","1.0","5.0","0.0","4.0","3.0","5.0","5.0",4,"14.0","17.0"
"6",64601,1992,2007,9,576,5,"corridor","individual_heating","management_in_trust","200.0","0.0","5min~10min","10min~15min","3.0","5.0","10.0","Myung-duk","7.0",1,"1.0","1.0","5.0","1.0","4.0","3.0","5.0","5.0",3,"16.0","17.0"
"7",55752,1992,2007,9,576,1,"corridor","individual_heating","management_in_trust","200.0","0.0","5min~10min","10min~15min","3.0","5.0","10.0","Myung-duk","7.0",1,"1.0","1.0","5.0","1.0","4.0","3.0","5.0","5.0",3,"16.0","17.0"
"8",74336,1997,2007,10,644,15,"mixed","individual_heating","management_in_trust","82.0","56.0","5min~10min","15min~20min","1.0","2.0","4.0","Chil-sung-market","7.0",1,"2.0","1.0","1.0","1.0","4.0","0.0","0.0","3.0",5,"13.0","7.0"
"9",46902,1985,2007,10,587,5,"corridor","individual_heating","self_management","80.0","76.0","0~5min","5min~10min","1.0","2.0","2.0","Daegu","5.0",1,"2.0","1.0","2.0","1.0","2.0","1.0","1.0","0.0",3,"12.0","4.0"
"10",61946,1985,2007,10,676,7,"corridor","individual_heating","self_management","80.0","76.0","0~5min","5min~10min","1.0","2.0","2.0","Daegu","5.0",1,"2.0","1.0","2.0","1.0","2.0","1.0","1.0","0.0",3,"12.0","4.0"
"11",38495,1992,2007,10,355,13,"corridor","individual_heating","management_in_trust","200.0","0.0","5min~10min","10min~15min","3.0","5.0","10.0","Myung-duk","7.0",1,"1.0","1.0","5.0","1.0","4.0","3.0","5.0","5.0",3,"16.0","17.0"
